Key,Name,Calories,Fat,Protein,Carbs,Fiber
171128,Turkey Drumstick From Whole Bird Meat Only With Added Solution Roasted,158,6,26.1,0,0
171129,Turkey Thigh From Whole Bird Meat Only With Added Solution Raw,115,4.12,19.27,0.15,0
171130,Turkey Retail Parts Breast Meat And Skin With Added Solution Raw,144,6.75,20.79,0.03,0
171131,Turkey Thigh From Whole Bird Meat Only With Added Solution Roasted,158,6,26.1,0,0
171132,Turkey Retail Parts Wing Meat And Skin Raw,202,13.79,19.53,0.05,0
171133,Turkey Retail Parts Wing Meat And Skin Cooked Roasted,235,13.29,28.74,0.13,0
171134,Turkey Retail Parts Drumstick Meat And Skin Raw,141,6.84,19.96,0,0
171135,Turkey Retail Parts Drumstick Meat And Skin Cooked Roasted,197,9.37,28.21,0,0
171136,Turkey Drumstick From Whole Bird Meat Only Raw,109,1.48,23.66,0.14,0
171137,Turkey Retail Parts Thigh Meat And Skin Cooked Roasted,183,9.5,23.95,0.41,0
171138,Turkey Back From Whole Bird Meat And Skin With Added Solution Raw,206,15.41,16.86,0.15,0
171139,Turkey Back From Whole Bird Meat And Skin With Added Solution Roasted,205,11.36,25.8,0,0
171140,Lean Chicken Breast (Cooked),157,3.24,32.06,0,0
171141,Soup Black Bean Canned Condensed,91,1.32,4.83,15.42,6.8
171142,Soup Bean With Pork Canned Condensed,129,4.42,5.88,16.97,5.9
171143,Soup Bean With Frankfurters Canned Condensed,142,5.31,7.6,16.75,4.6
171144,Soup Bean With Ham Canned Chunky Ready-To-Serve,95,3.5,5.19,11.16,4.6
171145,Soup Chicken Canned Chunky Ready-To-Serve,71,2.64,5.06,6.88,0.6
171146,Soup Cream Of Chicken Canned Condensed,90,5.77,2.38,7.16,0
171147,Soup Chicken Gumbo Canned Condensed,45,1.14,2.1,6.67,1.6
171148,Soup Chunky Chicken Noodle Canned Ready-To-Serve,41,1.16,3.09,4.46,0.8
171149,Soup Chicken Vegetable Canned Condensed,61,2.32,2.94,7.01,0.7
171150,Soup Chili Beef Canned Condensed,117,2.53,5.09,18.86,2.5
171151,Manhattan Clam Chowder,56,1.41,3.02,7.84,1.2
171152,Soup Clam Chowder Manhattan Canned Condensed,61,1.76,1.74,9.74,1.2
171153,Soup Minestrone Canned Condensed,68,2.05,3.48,9.17,0.8
171154,Soup Mushroom Barley Canned Condensed,61,1.8,1.5,9.6,0
171155,Soup Cream Of Mushroom Canned Condensed,79,5.3,1.35,6.8,0.7
171156,Soup Mushroom With Beef Stock Canned Condensed,68,3.21,2.51,7.41,0.1
171157,Soup Pea Split With Ham Canned Condensed,141,3.28,7.68,20.81,1.7
171158,Soup Cream Of Potato Canned Condensed,74,1.88,1.51,12.79,1.3
